SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc121,ng101,ne101,17,20,0,10,-999,-999,2.213015625480435,-999,0.3770027160644531,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc121,ng102,ne101,17,20,0,10,-999,-999,2.213015625480435,-999,0.3770027160644531,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc122,ng101,ne101,17,20,0,10,-999,-999,,-999,,1e+100,,
sc122,ng102,ne101,17,20,0,20,-999,-999,,-999,,1e+100,,
sc123,ng101,ne101,17,20,0,10,-999,-999,2.42,-999,24.103046417236328,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc123,ng102,ne101,17,20,0,25,-999,-999,2.1338148639390053,-999,24.103046417236328,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc124,ng101,ne101,17,20,0,10,-999,-999,2.42,-999,0.3388996124267578,0.0,199.75639606725508,5867.804390907201
sc124,ng102,ne101,17,20,10,10,-999,-999,2.0345371598475097,-999,0.3388996124267578,0.0,199.75639606725508,5867.804390907201
sc125,ng101,ne101,17,20,0,10,-999,-999,2.4200000000000017,-999,0.41509246826171875,0.0,199.75639606720233,5867.804390907201
sc125,ng102,ne101,17,20,10,20,-999,-999,2.1172685799237567,-999,0.41509246826171875,0.0,199.75639606720233,5867.804390907201
sc126,ng101,ne101,17,20,0,10,-999,-999,2.229515311241178,-999,0.3709869384765625,0.0,199.75639606725508,5867.804390907201
sc126,ng102,ne101,17,20,10,25,-999,-999,2.229515311241178,-999,0.3709869384765625,0.0,199.75639606725508,5867.804390907201
sc127,ng101,ne101,17,20,0,20,-999,-999,2.420000000000001,-999,0.3609600067138672,0.0,199.75639606725508,5867.804390907201
sc127,ng102,ne101,17,20,0,10,-999,-999,1.852037159847514,-999,0.3609600067138672,0.0,199.75639606725508,5867.804390907201
sc128,ng101,ne101,17,20,0,20,-999,-999,2.2062757589665964,-999,0.60260009765625,0.0,199.75639606725508,5867.804390907201
sc128,ng102,ne101,17,20,0,20,-999,-999,2.2062757589665973,-999,0.60260009765625,0.0,199.75639606725508,5867.804390907201
sc129,ng101,ne101,17,20,0,20,-999,-999,2.2055564379794754,-999,0.06918144226074219,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc129,ng102,ne101,17,20,0,25,-999,-999,2.2055564379794794,-999,0.06918144226074219,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc130,ng101,ne101,17,20,0,20,-999,-999,2.024,-999,0.076202392578125,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc130,ng102,ne101,17,20,10,10,-999,-999,2.7020000000000053,-999,0.076202392578125,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc131,ng101,ne101,17,20,0,20,-999,-999,2.21922148048411,-999,0.07519721984863281,6.601877804837528e-13,199.75639606725508,5867.804390907201
sc131,ng102,ne101,17,20,10,20,-999,-999,2.21922148048411,-999,0.07519721984863281,6.601877804837528e-13,199.75639606725508,5867.804390907201
